iter	Passed	Remaining
0	4	2107
1	7	1767
2	12	1923
3	15	1821
4	17	1669
5	19	1568
6	21	1480
7	24	1457
8	26	1407
9	29	1362
10	31	1336
11	33	1315
12	36	1302
13	38	1289
14	41	1279
15	43	1262
16	46	1260
17	48	1246
18	51	1235
19	53	1229
20	55	1213
21	57	1202
22	60	1189
23	62	1190
24	65	1185
25	67	1175
26	69	1166
27	72	1162
28	74	1160
29	77	1160
30	80	1159
31	82	1157
32	85	1150
33	87	1143
34	89	1138
35	92	1137
36	95	1135
37	97	1133
38	100	1129
39	102	1123
40	104	1119
41	107	1117
42	110	1117
43	112	1114
44	115	1112
45	118	1112
46	120	1108
47	123	1111
48	126	1114
49	129	1111
50	131	1105
51	134	1101
52	136	1095
53	138	1089
54	141	1092
55	144	1091
56	147	1095
57	150	1093
58	153	1090
59	155	1086
60	158	1089
61	162	1093
62	165	1092
63	168	1090
64	170	1088
65	173	1083
66	175	1078
67	177	1073
68	179	1068
69	182	1064
70	184	1060
71	186	1055
72	189	1053
73	192	1050
74	194	1047
75	197	1046
76	199	1043
77	202	1039
78	204	1035
79	207	1035
80	210	1032
81	212	1030
82	214	1025
83	217	1020
84	219	1015
85	221	1013
86	224	1012
87	227	1010
88	229	1006
89	232	1002
90	234	1001
91	237	998
92	240	996
93	243	996
94	246	994
95	248	990
96	250	985
97	252	982
98	255	980
99	257	977
100	260	973
101	262	970
102	264	966
103	267	963
104	269	961
105	272	957
106	274	954
107	277	951
108	279	948
109	282	946
110	284	942
111	286	940
112	289	936
113	291	934
114	294	932
115	296	928
116	298	924
117	301	921
118	303	919
119	306	916
120	308	913
121	310	909
122	313	905
123	315	903
124	318	902
125	321	900
126	323	897
127	326	895
128	328	891
129	330	887
130	333	885
131	335	883
132	338	880
133	341	879
134	343	876
135	345	872
136	348	869
137	351	868
138	354	866
139	357	866
140	359	862
141	363	862
142	367	862
143	371	863
144	374	863
145	378	863
146	382	864
147	386	865
148	389	862
149	391	858
150	393	854
151	395	851
152	398	848
153	400	845
154	403	843
155	406	841
156	409	839
157	411	835
158	413	832
159	415	829
160	418	826
161	421	824
162	423	821
163	425	817
164	428	815
165	432	814
166	439	820
167	441	817
168	444	815
169	447	812
170	450	810
171	453	808
172	456	808
173	459	806
174	462	803
175	464	800
176	467	797
177	472	798
178	474	795
179	476	792
180	479	789
181	484	791
182	487	788
183	489	785
184	493	784
185	497	783
186	501	783
187	504	781
188	507	778
189	509	775
190	512	772
191	514	769
192	516	765
193	519	762
194	522	760
195	524	757
196	529	757
197	531	754
198	534	752
199	538	750
200	540	747
201	543	745
202	545	742
203	548	739
204	552	737
205	554	734
206	557	732
207	560	730
208	563	727
209	567	727
210	570	724
211	572	721
212	575	718
213	578	716
214	581	714
215	584	711
216	586	707
217	588	704
218	591	701
219	593	698
220	595	695
221	598	692
222	600	689
223	602	686
224	605	683
225	607	680
226	610	677
227	615	677
228	619	676
229	621	673
230	624	670
231	626	667
232	629	664
233	631	661
234	634	658
235	636	655
236	639	653
237	642	650
238	644	647
239	646	643
240	648	640
241	651	638
242	654	635
243	656	632
244	659	629
245	661	626
246	664	623
247	666	620
248	668	617
249	671	615
250	673	612
251	676	609
252	678	606
253	681	603
254	683	600
255	686	597
256	689	595
257	692	593
258	694	590
259	697	587
260	700	584
261	702	581
262	706	580
263	709	577
264	711	574
265	713	571
266	715	568
267	718	565
268	720	562
269	724	560
270	726	557
271	729	555
272	732	552
273	735	550
274	737	547
275	741	545
276	743	542
277	746	539
278	749	537
279	752	534
280	755	532
281	758	529
282	761	527
283	763	524
284	766	521
285	769	518
286	771	516
287	774	513
288	777	510
289	780	508
290	782	505
291	785	502
292	788	500
293	790	497
294	793	494
295	795	491
296	798	489
297	801	486
298	803	483
299	806	481
300	808	478
301	810	475
302	813	472
303	816	469
304	818	467
305	821	464
306	824	461
307	827	459
308	829	456
309	832	453
310	834	450
311	837	448
312	839	445
313	842	442
314	844	439
315	846	436
316	849	433
317	851	431
318	853	428
319	856	425
320	858	422
321	861	420
322	863	417
323	866	414
324	868	411
325	871	408
326	873	406
327	875	403
328	877	400
329	880	397
330	883	394
331	885	392
332	887	389
333	890	386
334	892	383
335	895	381
336	897	378
337	900	375
338	902	372
339	904	369
340	907	367
341	909	364
342	911	361
343	914	358
344	916	356
345	919	353
346	923	351
347	926	348
348	928	346
349	931	343
350	935	341
351	938	338
352	941	336
353	944	333
354	946	330
355	949	327
356	952	325
357	954	322
358	957	320
359	960	317
360	963	315
361	966	312
362	970	310
363	975	308
364	979	305
365	982	303
366	984	300
367	988	298
368	990	295
369	993	292
370	995	289
371	998	287
372	1000	284
373	1003	281
374	1005	278
375	1007	276
376	1010	273
377	1012	270
378	1015	267
379	1017	265
380	1019	262
381	1022	259
382	1024	256
383	1026	254
384	1029	251
385	1031	248
386	1034	245
387	1036	243
388	1038	240
389	1040	237
390	1043	234
391	1045	231
392	1047	229
393	1050	226
394	1052	223
395	1054	221
396	1057	218
397	1059	215
398	1061	212
399	1063	210
400	1066	207
401	1069	204
402	1071	202
403	1074	199
404	1076	196
405	1078	193
406	1080	191
407	1082	188
408	1085	185
409	1088	183
410	1090	180
411	1092	177
412	1094	174
413	1097	172
414	1100	169
415	1102	167
416	1105	164
417	1107	161
418	1109	158
419	1112	156
420	1114	153
421	1116	150
422	1119	148
423	1121	145
424	1124	142
425	1126	140
426	1128	137
427	1131	134
428	1134	132
429	1136	129
430	1138	126
431	1140	124
432	1143	121
433	1145	118
434	1147	116
435	1151	113
436	1154	110
437	1156	108
438	1158	105
439	1161	102
440	1164	100
441	1167	97
442	1169	95
443	1172	92
444	1174	89
